Metagenome	Run	Habitat
Aquatic	ERR2497785	Aquatic
Aquatic	ERR2497786	Aquatic
Aquatic	ERR2497787	Aquatic
Aquatic	ERR2497788	Aquatic
Aquatic	ERR2497789	Aquatic
Aquatic	ERR2497790	Aquatic
Aquatic	ERR2497791	Aquatic
Aquatic	ERR2497792	Aquatic
Aquatic	ERR2497793	Aquatic
Aquatic	ERR2497794	Aquatic
Aquatic	ERR2497795	Aquatic
Aquatic	ERR2497796	Aquatic
Aquatic	ERR2497797	Aquatic
Aquatic	ERR2497798	Aquatic
Aquatic	ERR2497799	Aquatic
Aquatic	ERR2497800	Aquatic
Aquatic	ERR2635168	Aquatic
Aquatic	ERR2635169	Aquatic
Aquatic	ERR2635170	Aquatic
Aquatic	ERR2635171	Aquatic
Aquatic	ERR2635172	Aquatic
Aquatic	ERR2635173	Aquatic
Aquatic	ERR2635174	Aquatic
Aquatic	ERR2635175	Aquatic
Aquatic	ERR2635176	Aquatic
Aquatic	ERR2635177	Aquatic
Aquatic	ERR2635178	Aquatic
Aquatic	ERR2635179	Aquatic
Aquatic	ERR2635180	Aquatic
Aquatic	ERR2635181	Aquatic
Aquatic	ERR2635182	Aquatic
Aquatic	ERR2635183	Aquatic
Aquatic	ERR2635184	Aquatic
Aquatic	ERR2635185	Aquatic
Aquatic	ERR2635186	Aquatic
Aquatic	ERR2635187	Aquatic
Aquatic	ERR2635188	Aquatic
Aquatic	ERR2635189	Aquatic
Aquatic	ERR3016202	Aquatic
Aquatic	ERR3016203	Aquatic
Aquatic	ERR3016204	Aquatic
Aquatic	ERR3016205	Aquatic
Aquatic	ERR3016206	Aquatic
Aquatic	ERR3016207	Aquatic
Aquatic	SRR10527851	Aquatic
Aquatic	SRR11015091	Aquatic
Aquatic	SRR11015092	Aquatic
Aquatic	SRR11015093	Aquatic
Aquatic	SRR1185390	Aquatic
Aquatic	SRR1185391	Aquatic
Aquatic	SRR1185392	Aquatic
Aquatic	SRR1185399	Aquatic
Aquatic	SRR1186930	Aquatic
Aquatic	SRR1193177	Aquatic
Aquatic	SRR1193190	Aquatic
Aquatic	SRR1193205	Aquatic
Aquatic	SRR1193215	Aquatic
Aquatic	SRR1193226	Aquatic
Aquatic	SRR1193237	Aquatic
Aquatic	SRR1193627	Aquatic
Aquatic	SRR1193629	Aquatic
Aquatic	SRR1193632	Aquatic
Aquatic	SRR1193634	Aquatic
Aquatic	SRR1199277	Aquatic
Aquatic	SRR1199278	Aquatic
Aquatic	SRR1199279	Aquatic
Aquatic	SRR1199280	Aquatic
Aquatic	SRR1199281	Aquatic
Aquatic	SRR1199282	Aquatic
Aquatic	SRR1199283	Aquatic
Aquatic	SRR1199284	Aquatic
Aquatic	SRR1199285	Aquatic
Aquatic	SRR1199286	Aquatic
Aquatic	SRR1200525	Aquatic
Aquatic	SRR1200526	Aquatic
Aquatic	SRR1204509	Aquatic
Aquatic	SRR1204512	Aquatic
Aquatic	SRR1204563	Aquatic
Aquatic	SRR1204564	Aquatic
Aquatic	SRR1204565	Aquatic
Aquatic	SRR1204579	Aquatic
Aquatic	SRR1205247	Aquatic
Aquatic	SRR1205249	Aquatic
Aquatic	SRR1205800	Aquatic
Aquatic	SRR1697355	Aquatic
Aquatic	SRR1697356	Aquatic
Aquatic	SRR1777513	Aquatic
Aquatic	SRR1778024	Aquatic
Aquatic	SRR1779189	Aquatic
Aquatic	SRR1779203	Aquatic
Aquatic	SRR1779221	Aquatic
Aquatic	SRR1781711	Aquatic
Aquatic	SRR1781714	Aquatic
Aquatic	SRR1781802	Aquatic
Aquatic	SRR1781804	Aquatic
Aquatic	SRR1781811	Aquatic
